id,gho_code,year_code,region_code,world_bank_income_group_group_code,country_code,sex_code
5d990641-3e0f-4d82-aeeb-1ec0f5347761,WHOSIS_000015,2000,AFR,WB_UMI,DZA,MLE
90f4952b-1380-4e7b-821b-fb9da14b39d1,WHOSIS_000015,1990,AFR,WB_UMI,DZA,BTSX
fdbc2d18-d5e6-4723-a844-79bad38699fe,WHOSIS_000015,1990,AFR,WB_UMI,DZA,FMLE
e26b2f3b-a7af-4a8a-bc4a-3b63d242f1cb,WHOSIS_000015,1990,AFR,WB_UMI,DZA,MLE
c46f8981-9b3f-4c25-8676-a4773bf31e32,WHOSIS_000001,2013,EUR,NA,AND,BTSX
dedc2bec-01e7-4e0b-90d2-75efcb339f7f,WHOSIS_000001,2013,EUR,NA,AND,FMLE
39ccc068-fd9f-4233-8978-b8200ff6d3c4,WHOSIS_000001,2013,EUR,NA,AND,MLE
4c0dd08a-aeb8-4a61-b1e3-4b983fa085c9,WHOSIS_000001,2012,EUR,WB_HI,AND,BTSX
e0a155b8-6ab6-4e13-b319-d5b962332c06,WHOSIS_000001,2012,EUR,WB_HI,AND,FMLE
7cabed2f-6086-4e56-8b7a-4a468f0edc75,WHOSIS_000001,2012,EUR,WB_HI,AND,MLE
5d23ae11-7d27-4202-bbd8-3e4cdd8b96cf,WHOSIS_000001,2000,EUR,WB_HI,AND,BTSX
7b4787f6-4452-4b69-978a-86acfc931e5f,WHOSIS_000001,2000,EUR,WB_HI,AND,FMLE
b04811de-df32-46fb-8a13-f07d2649a160,WHOSIS_000001,2000,EUR,WB_HI,AND,MLE
a32a0b66-1eff-410f-bd07-802390af3bcf,WHOSIS_000001,1990,EUR,WB_HI,AND,BTSX
2b293427-29c4-4dd2-8f40-94b553e86f28,WHOSIS_000001,1990,EUR,WB_HI,AND,FMLE
2e26affc-9d82-4e6f-910f-a103aa9041ad,WHOSIS_000001,1990,EUR,WB_HI,AND,MLE
9eed5ebe-beab-4331-a809-042e3cb6dd18,WHOSIS_000002,2013,EUR,WB_HI,AND,BTSX
f9ccc201-96ff-4eb9-a3a2-a9adf1cd84ea,WHOSIS_000002,2013,EUR,WB_HI,AND,FMLE
b5a70372-98dd-4842-9d69-400ae9271c77,WHOSIS_000002,2013,EUR,WB_HI,AND,MLE
abcf9fdb-3619-4544-a235-c88086e4b155,WHOSIS_000002,2012,EUR,WB_HI,AND,BTSX
84b7b8cd-fe2d-410a-ab5b-5c85b2f3e45f,WHOSIS_000002,2012,EUR,WB_HI,AND,FMLE
160cb8eb-b856-43ae-929b-2a2cbead72f2,WHOSIS_000002,2012,EUR,WB_HI,AND,MLE
01e83a0a-358d-4afe-b1b1-bc0600ae3007,WHOSIS_000002,2000,EUR,WB_HI,AND,BTSX
9b0560a1-e120-46ac-aa9a-27bd992f444e,WHOSIS_000002,2000,EUR,WB_HI,AND,FMLE
ed447647-5892-4725-9935-54bdc1574605,WHOSIS_000002,2000,EUR,WB_HI,AND,MLE
d46981f7-c218-45db-8f6b-796f50bdc4ba,WHOSIS_000015,2013,EUR,NA,AND,BTSX
f0d502b6-b1d4-465e-b705-9a7c795f3a23,WHOSIS_000015,2013,EUR,NA,AND,FMLE
0fdae9f6-ffa4-48df-8ed5-540b33691a5c,WHOSIS_000015,2013,EUR,NA,AND,MLE
ce980129-25bb-4c76-9ff3-0ae8cb0a32a2,WHOSIS_000015,2012,EUR,WB_HI,AND,BTSX
1ba2d9cb-f34d-4f25-911f-6332d8a53b31,WHOSIS_000015,2012,EUR,WB_HI,AND,FMLE
8a7fee32-ec0b-44cc-9a08-2932aab81f1b,WHOSIS_000015,2012,EUR,WB_HI,AND,MLE
d0e44045-73f7-471c-9c33-4d466fcef36d,WHOSIS_000015,2000,EUR,WB_HI,AND,BTSX
b2678fe1-c6c4-452b-adf0-4d4c585e2079,WHOSIS_000015,2000,EUR,WB_HI,AND,FMLE
e436e82b-a527-4328-b44e-6b36bad6eaee,WHOSIS_000015,2000,EUR,WB_HI,AND,MLE
b15e364d-84d3-4bd6-ae91-aad5a4661de1,WHOSIS_000015,1990,EUR,WB_HI,AND,BTSX
db355f89-da6a-4aa1-8d9f-ceb9909f5288,WHOSIS_000015,1990,EUR,WB_HI,AND,FMLE
76c80005-ccd1-4fbb-8b45-791e2c720afb,WHOSIS_000015,1990,EUR,WB_HI,AND,MLE
1b9b8762-89ba-43df-8936-389b0529efe0,WHOSIS_000001,2013,AFR,NA,AGO,BTSX
6e248156-5b48-4499-b49b-c4a41d47445f,WHOSIS_000001,2013,AFR,NA,AGO,FMLE
fb4e4d66-941b-4a5f-bffd-55084cdee624,WHOSIS_000001,2013,AFR,NA,AGO,MLE
22f64ea3-2b5a-4743-9ae2-1f56b900aa8a,WHOSIS_000001,2012,AFR,WB_LMI,AGO,BTSX
ac233256-f5d1-4f99-b902-e723e24e3c93,WHOSIS_000001,2012,AFR,WB_LMI,AGO,FMLE
35be9dd9-8308-468a-a89c-2fafe08bb5b0,WHOSIS_000001,2012,AFR,WB_LMI,AGO,MLE
417e677f-6263-44ed-a5e0-da78d6a476af,WHOSIS_000001,2000,AFR,WB_LMI,AGO,BTSX
b76ddd36-105a-4003-99ef-1320fafb19ae,WHOSIS_000001,2000,AFR,WB_LMI,AGO,FMLE
d3252ed8-a9e7-42ff-9edd-7d6872a11521,WHOSIS_000001,2000,AFR,WB_LMI,AGO,MLE
8a1fd72e-09e7-479a-bcb9-eb22c11442ad,WHOSIS_000001,1990,AFR,WB_LMI,AGO,BTSX
f6628ab5-bfd1-4f1e-a0ca-af7f9dbe67c7,WHOSIS_000001,1990,AFR,WB_LMI,AGO,FMLE
ea1a5a2a-fdc0-4a4d-9979-e7fd14990704,WHOSIS_000001,1990,AFR,WB_LMI,AGO,MLE
cfe374fd-492c-4953-a40e-a7babcbde36d,WHOSIS_000002,2013,AFR,WB_LMI,AGO,BTSX
5292da49-496d-48e5-968f-3ab2f4997e0e,WHOSIS_000002,2013,AFR,WB_LMI,AGO,FMLE
ee2deb19-974b-4931-b096-098f6e3284cb,WHOSIS_000002,2013,AFR,WB_LMI,AGO,MLE
